Date/Time,Word Count,de,en,es,fr,it,pl,pt,ru
2022.01.22-17.47.04,1491,0,1491,0,0,0,0,0,1203
2022.01.22-17.47.54,1490,0,1490,0,0,0,0,0,1203
2022.01.22-17.49.06,1480,0,1480,0,0,0,0,0,1203
2022.01.22-17.50.23,1477,0,1477,0,0,0,0,0,1209
2022.01.22-17.51.23,1474,0,1474,0,0,0,0,0,1214
2022.01.22-17.54.45,1474,0,1474,0,0,0,0,0,1227
2022.01.22-17.55.23,1472,0,1472,0,0,0,0,0,1227
2022.01.22-18.03.35,1472,0,1472,0,0,0,0,0,1269
2022.01.22-18.17.23,1472,0,1472,0,0,0,0,0,1472
2022.01.22-18.52.58,1608,0,1608,0,0,0,0,0,1472
2022.01.22-18.59.18,1608,0,1608,0,0,0,0,0,1608
2022.01.25-13.36.47,1717,0,1717,0,0,0,0,0,1592
2022.01.25-13.38.11,1709,0,1709,0,0,0,0,0,1592
2022.01.25-13.44.49,1709,0,1709,0,0,0,0,0,1709
2022.01.25-14.07.35,2101,0,2101,0,0,0,0,0,1709
2022.01.25-14.10.38,2101,0,2101,0,0,0,0,0,2101
2022.01.25-14.19.18,1712,0,1712,0,0,0,0,0,1712
2022.01.29-15.13.55,1862,0,1862,0,0,0,0,0,1709
2022.01.29-15.14.27,1862,0,1862,0,0,0,0,0,1712
2022.02.05-20.59.35,2205,0,2205,0,0,0,0,0,1683
2022.02.05-21.03.41,2205,0,2205,0,0,0,0,0,1736
2022.02.05-21.30.03,2205,0,2205,0,0,0,0,0,2204
2022.02.05-21.30.49,2205,0,2205,0,0,0,0,0,2205
2022.02.05-21.43.39,2208,0,2208,0,0,0,0,0,2205
2022.02.05-21.44.15,2208,0,2208,0,0,0,0,0,2208
2022.02.06-13.32.15,2215,0,2215,0,0,0,0,0,2196
2022.02.06-13.33.41,2215,0,2215,0,0,0,0,0,2215
2022.02.06-13.44.00,2215,0,2215,0,266,0,0,0,2215
2022.02.06-13.58.54,2215,0,2215,0,535,0,0,0,2215
2022.02.06-14.02.31,2215,0,2215,0,595,0,0,0,2215
2022.02.06-14.03.20,2215,0,2215,0,595,0,0,0,2161
2022.02.06-14.03.48,2215,0,2215,0,595,0,0,0,2215
2022.02.06-14.20.03,2215,0,2215,0,956,0,0,0,2215
2022.02.06-14.20.50,2215,0,2215,0,956,0,0,0,2213
2022.02.06-14.22.16,2215,0,2215,0,957,0,0,0,2213
2022.02.06-14.37.51,2215,0,2215,0,1442,0,0,0,2215
2022.02.06-14.39.10,2215,0,2215,0,1377,0,0,0,2112
2022.02.06-14.39.39,2215,0,2215,0,1377,0,0,0,2215
2022.02.06-14.41.45,2215,0,2215,0,1514,0,0,0,2047
2022.02.06-14.44.17,2215,0,2215,0,1752,0,0,0,2213
2022.02.06-14.55.24,2215,0,2215,0,2215,0,0,0,2215
2022.02.06-15.15.39,2215,9,2215,9,2215,9,0,9,2215
2022.02.06-17.14.16,2215,273,2215,9,2148,9,0,9,2148
2022.02.06-17.15.04,2215,273,2215,9,2215,9,0,9,2215
2022.02.06-17.29.41,2215,657,2215,9,2215,9,0,9,2215
2022.02.06-18.22.07,2215,2215,2215,9,2215,9,0,9,2215
2022.02.06-21.34.58,2215,2215,2215,9,2215,1135,0,9,2215
2022.02.06-21.50.09,2215,2215,2215,9,2215,1969,0,9,2215
2022.02.06-21.50.55,2215,2178,2215,9,2178,1932,0,9,2178
2022.02.06-21.56.57,2215,2215,2215,9,2215,2215,0,9,2215
2022.02.06-22.05.08,2215,2215,2215,9,2215,2215,9,9,2215
2022.02.07-00.05.35,2215,2215,2215,9,2215,2215,2215,9,2215
